@id,@lon,@lat,name
170738728,21.4242986,41.9925368,
170738730,21.4244946,41.9929146,
170741121,21.4322222,42.0070382,
170741123,21.4294375,42.0093842,
170741125,21.4282396,42.0104178,
170741127,21.4273721,42.0110782,
170741129,21.4263801,42.0115124,
170741131,21.4260671,42.0115970,
170741132,21.4258117,42.0116006,
170741133,21.4255871,42.0115389,
170741134,21.4254139,42.0114087,
170741135,21.4253028,42.0112004,
170741138,21.4257318,42.0101884,
170741139,21.4264972,42.0091531,
170741140,21.4278011,42.0082799,
170741141,21.4300522,42.0067803,
170741143,21.4314053,42.0051865,
170741144,21.4315106,42.0041116,
170741145,21.4316192,42.0035484,
170741147,21.4319119,42.0029037,
170741148,21.4317856,42.0021946,
170742686,21.4242725,42.0090382,
170750136,21.4112998,42.0066886,
170750140,21.4141376,42.0064847,
170750141,21.4147367,42.0063571,
170750142,21.4151783,42.0062385,
170750143,21.4155518,42.0061360,
170752539,21.4377500,41.9856379,
170752542,21.4370910,41.9870355,
170752543,21.4366935,41.9878418,
170757481,21.4352989,41.9849333,
170792214,21.4316495,41.9960924,Скопје
170805274,21.4257055,41.9986380,
170805275,21.4258885,41.9989352,
170805276,21.4265913,41.9997275,
170805930,21.4249692,41.9983163,
172098269,21.3775672,42.0012111,
172098270,21.3786063,42.0005499,
172100825,21.3799563,41.9999692,
172100827,21.3806913,41.9997887,
172100829,21.3813804,41.9996577,
172132877,21.4329937,41.9892447,
172146047,21.4181595,41.9966994,
172146049,21.4179171,41.9972756,
172165119,21.4161784,41.9994010,
172170583,21.4200092,41.9975545,
172175473,21.4186522,41.9981076,
172176001,21.4215015,41.9981411,
172176628,21.4187473,41.9966762,
172177253,21.4218398,41.9968306,
172179439,21.4200832,41.9980435,
172179441,21.4207967,41.9980432,
172179443,21.4213127,41.9975351,
172179444,21.4214598,41.9975153,
172179445,21.4214690,41.9968482,
172179447,21.4201360,41.9968568,
172180422,21.4223522,41.9968250,
172186663,21.4270495,42.0029433,
172186664,21.4270808,42.0030296,
172186726,21.4234347,41.9993715,
172186727,21.4246901,42.0006011,
172186730,21.4265754,42.0024943,
172191681,21.4234730,41.9968356,
172192342,21.4244256,41.9973166,
172192343,21.4238909,41.9976301,
172229912,21.4329061,41.9868826,
172229914,21.4333768,41.9860729,
172229915,21.4337188,41.9854557,
172229917,21.4343743,41.9843601,
172229918,21.4349970,41.9833439,
172229922,21.4351675,41.9828925,
172229925,21.4350915,41.9826743,
172232403,21.4316720,41.9876164,
172232781,21.4310368,41.9869878,
172232891,21.4321843,41.9879146,
172232895,21.4319041,41.9878292,
172237329,21.4343927,41.9879396,
172251108,21.4403229,41.9902555,
172251109,21.4391593,41.9892234,
172256954,21.4432345,41.9929031,
172256956,21.4421673,41.9919461,
172256957,21.4411769,41.9910356,
172265063,21.4509148,41.9956417,
172265064,21.4511268,41.9958149,
172265067,21.4513670,41.9959831,
172265068,21.4517112,41.9961961,
172265071,21.4520124,41.9963483,
172279602,21.4457798,42.0008278,
172279603,21.4463312,42.0002743,
172279605,21.4466815,41.9999828,
172279607,21.4471557,41.9996614,
172282301,21.4518456,41.9994099,
172282308,21.4505682,41.9993283,
172282310,21.4496065,41.9993621,
172282311,21.4487939,41.9995219,
172282317,21.4469847,42.0002077,
172282318,21.4466159,42.0004468,
172282319,21.4463616,42.0006151,
172282321,21.4459690,42.0009527,
172282323,21.4453028,42.0015848,
172282324,21.4445134,42.0023431,
172286772,21.4416599,42.0004578,
172286773,21.4421810,42.0012018,
172286774,21.4426383,42.0015480,
172286775,21.4432975,42.0016610,
172286776,21.4435411,42.0015929,
172286777,21.4448499,42.0011453,
172286778,21.4451795,42.0008657,
172286779,21.4453365,42.0006767,
172286780,21.4454825,42.0004458,
172286781,21.4453821,41.9996057,
172286782,21.4451251,41.9994007,
172286783,21.4445721,41.9990388,
172286784,21.4435925,41.9986513,
172286786,21.4424577,41.9987958,
172286788,21.4405397,41.9991981,
172286789,21.4403693,41.9998646,
172286790,21.4411093,41.9999028,
172286791,21.4414296,42.0000214,
172286792,21.4415547,42.0001696,
172292553,21.4399690,42.0014784,
172292554,21.4398965,42.0019825,
172292556,21.4398794,42.0025579,
172292557,21.4399253,42.0028776,
172292559,21.4401728,42.0037173,
172292560,21.4406357,42.0047568,
172292561,21.4411457,42.0053271,
172293477,21.4421692,42.0064519,
172293479,21.4410390,42.0053685,
172293480,21.4405230,42.0047985,
172293481,21.4401567,42.0040335,
172293482,21.4400920,42.0038650,
172293484,21.4398106,42.0030071,
172293486,21.4397400,42.0019584,
172293487,21.4397974,42.0014592,
172294215,21.4418033,42.0059424,
172297629,21.4427770,42.0038478,
172297631,21.4403904,42.0053239,
172298751,21.4385209,42.0062259,
172298752,21.4402945,42.0052248,
172298754,21.4421174,42.0040333,
172298755,21.4427242,42.0036003,
172299028,21.4386149,42.0062667,
172299030,21.4380421,42.0065241,
172300838,21.4403031,42.0044538,
172301849,21.4402434,42.0048586,
172301850,21.4392188,42.0056413,
172301852,21.4387296,42.0060024,
172303359,21.4406345,42.0040501,
172303361,21.4413196,42.0040655,
172303362,21.4417503,42.0040093,
172303364,21.4420930,42.0039097,
172304603,21.4407197,42.0055799,
172304604,21.4402518,42.0057569,
172304605,21.4398643,42.0059150,
172304606,21.4392207,42.0060400,
172304713,21.4426337,42.0040014,
172304714,21.4424250,42.0042244,
